Id,Lang,Sentence_Text,Letters,Words,Num_Sentences,gulpease,flesch,gunning_fog
145,it,"Nel 2000 si celebrò il grande Giubileo e, infine, l'elenco si chiude con l'ostensione del 2010.",67,16,1,65.88,194.24,18.9
146,it,Si può vedere come la Sìndone è conservata distesa in una grande teca ad atmosfera.,68,15,1,63.67,194.75,19.33
147,it,La statua è stata realizzata nel 1998 dallo scultore Luigi Mattei.,51,11,1,69.91,197.42,11.67
148,it,In questa nicchia è esposta la macchina fotografica che appartenne all’avvocato astigiano Secondo Pia con la quale scattò il 25 e il 28 maggio 1998 le prime fotografie della Sìndone.,143,30,1,51.33,185.0,22.67
149,it,Si tratta di un apparecchio appositamente costruito per il Pia da un artigiano torinese al fine di eseguire fotografie di grande formato.,115,22,1,50.36,190.06,23.35
150,it,"Fotografia dell'altare della Sìndone in Duomo durante l'ostensione del 1998, fotografia effettuata da Secondo Pia.",92,15,1,47.67,194.35,27.33
151,it,Ingrandimento del volto in negativo fotografico.,42,6,1,69.0,199.85,22.4
152,it,In questa nicchia sono esposte alcune realizzazioni di artisti ispirate al volto dell’Uomo della Sìndone.,89,15,1,49.67,194.5,22.0
153,it,Si tratta di opere prodotte a partire dal 1931 sino ai giorni nostri.,52,13,1,72.08,196.28,11.35
154,it,"Al centro la suggestiva opera “Resurrezione” del giovane artista contemporaneo polacco Bartosz Keska di Zakopane, che coglie il momento del ritorno alla vita di Cristo, espresso dalla sagoma fortemente luminosa che si anima al di sotto del telo sindonico.",212,39,1,42.33,178.98,28.93
155,it,"La pubblicazione dei risultati della fotografie del Pia provocò un rinnovato interesse nei confronti della Sìndone, ma anche molte polemiche.",120,20,1,44.0,191.16,26.0
156,it,La Sìndone presenta due tipi di impronte: ematiche e corpòree.,51,10,1,68.0,197.93,24.0
157,it,"Riproduzione di un casco di rami spinosi, che rimane l'ipotesi più accreditata della corona di Spine del racconto.",94,18,1,53.44,192.59,22.76
158,it,Si può riconoscere la frattura del naso e un ematoma allo zigomo destro.,59,13,1,66.69,196.05,17.51
159,it,"Sulla fronte sono evidenti delle colature di sangue provocate da un casco di rami spinosi, come quello esposto a fianco.",99,20,1,54.5,191.46,16.0
160,it,"Secondo Pia, nato nel 1855 e morto nel 1941, fu uno dei più grandi fotografi dell’800.",56,16,1,72.75,194.43,11.4
161,it,In questa vetrina sono documentate le operazioni per la conservazione della Sìndone compiute nel giugno-luglio 2002.,95,16,1,48.38,193.72,23.9
162,it,Sul polso sinistro è visibile una colatura di sangue fuoriuscito da una ferita provocata dalla penetrazione di un chiodo.,102,19,1,51.11,191.95,22.34
163,it,"A fianco sono esposti tre chiodi settecenteschi ricostruiti a imitazione di quelli che in epoca romana venivano usati per le crocifissioni, forgiati includendo probabilmente alcuni frammenti di chiodi ritenuti originali, come dimostrano i sigilli pendenti.",219,35,1,35.0,181.34,32.29
164,it,Operazioni di conservazione anni 2000.,29,5,1,91.0,200.8,18.0
165,it,"Il 21 aprile 1988 vennero prelevati dalla Sìndone dei campioni di tessuto per essere sottoposti alla datazione con il metodo del radiocarbonio presso i laboratori di Oxford, Zurigo e Tucson.",153,30,1,48.0,184.8,29.33
166,it,Sono rappresentati gli  studi dell’immagine della Sìndone con l’ausilio del computer.,71,11,1,51.73,196.94,22.58
167,it,In questa vetrina è illustrato lo studio delle varie tracce presenti sulla Sìndone.,70,13,1,58.23,195.93,17.51
168,it," Alcuni segni sono dovuti a bruciature, cera e acqua.",42,9,1,75.67,198.48,16.93
169,it,"Altre tracce derivano dal contatto del lenzuolo con il corpo, come sangue, siero e cellule epiteliali.",84,16,1,55.25,194.01,18.9
170,it,"Sono inoltre analizzate le sostanze conservative utilizzate, tra cui aloe e mirra.",69,12,1,56.5,196.51,18.13
171,it,"Infine, viene esaminata la polvere che si è depositata sul tessuto nel corso dei secoli.",72,15,1,61.0,194.65,22.0
172,it,Ricostruzione di un telaio dell'epoca.,32,5,1,85.0,200.65,26.0
173,it,"Ricostruzione in scala di un sepolcro giudaico del I secolo, che ha per sfondo una pianta della basilica del Santo Sepolcro di Gerusalemme in epoca crociata.",130,26,1,50.54,187.57,22.71
174,it,Beato Sebastiano Valfrè.,21,3,1,119.0,202.05,14.53
175,it,San Francesco di Sales.,19,4,1,116.5,202.09,11.6
176,it,Papa Pio Ottavo.,13,3,1,145.67,202.55,14.53
177,it,"In questa vetrina può vedere alcuni frammenti delle stoffe che nel tempo hanno protetto la Sìndone all’interno della cassetta in cui era conservata, distribuiti come reliquia “da contatto” e corredati da autentica che ne testimonia l’effettivo contatto con la Sìndone.",223,40,1,40.75,178.29,34.0
178,it,"Anche alcuni oggetti venuti in contatto con il Lenzuolo, come uno degli spilli serviti per fermare la Sìndone durante l’ostensione del 1868 qui esposto, venivano conservati religiosamente e tramandati.",165,29,1,42.45,185.37,30.91
179,it,Copia su tela in formato uno ad uno della Sìndone: sono apprezzabili i particolari in modo molto prossimo all’osservazione diretta.,109,20,1,49.5,191.24,22.0
